"","algorithm","file_id","effect_size","p_value","mean","median"
"1","nsga3","activemq-5.0.0",-8.96827555095469e-18,1,6.83870967741935,7
"2","DT","activemq-5.0.0",-1,4.96413482206739e-08,14,14
"3","DT_SMOTE","activemq-5.0.0",-1,3.94816659394612e-08,39,39
"4","FFT","activemq-5.0.0",-0.161290322580645,0.168621371280351,7,7
"5","FFT_SMOTE","activemq-5.0.0",-1,1.70082270934016e-08,9,9
"6","nsga3","activemq-5.1.0",-1.79221242181626e-18,1,6.96774193548387,7
"7","DT","activemq-5.1.0",-1,1.16167896888957e-09,11,11
"8","DT_SMOTE","activemq-5.1.0",-1,1.77186587666325e-09,54,54
"9","FFT","activemq-5.1.0",-0.032258064516129,0.588142076714406,7,7
"10","FFT_SMOTE","activemq-5.1.0",-1,6.14597826229199e-10,9,9
"11","nsga3","activemq-5.2.0",0,NA,7,7
"12","DT","activemq-5.2.0",-1,1.59379116880663e-05,13,13
"13","DT_SMOTE","activemq-5.2.0",-1,1.59379116880663e-05,45,45
"14","FFT","activemq-5.2.0",-1,9.35884195565616e-06,9,9
"15","FFT_SMOTE","activemq-5.2.0",1,9.35884195565616e-06,5,5
"16","nsga3","activemq-5.3.0",0,NA,7,7
"17","DT","activemq-5.3.0",-1,1.59379116880663e-05,31,31
"18","DT_SMOTE","activemq-5.3.0",-1,1.59379116880663e-05,51,51
"19","FFT","activemq-5.3.0",1,9.35884195565616e-06,5,5
"20","FFT_SMOTE","activemq-5.3.0",-1,9.35884195565616e-06,9,9
"21","nsga3","derby-10.2.1.6",-1.23207530212172e-17,1,6.77777777777778,7
"22","DT","derby-10.2.1.6",-1,5.14416782891832e-05,15,15
"23","DT_SMOTE","derby-10.2.1.6",-1,5.14416782891832e-05,27,27
"24","FFT","derby-10.2.1.6",-1,2.86674183484229e-05,9,9
"25","FFT_SMOTE","derby-10.2.1.6",1,2.86674183484229e-05,5,5
"26","nsga3","derby-10.3.1.4",-5.05632467713694e-18,1,6.81818181818182,7
"27","DT","derby-10.3.1.4",-1,2.10965703902814e-05,29,29
"28","DT_SMOTE","derby-10.3.1.4",-1,2.10965703902814e-05,33,33
"29","FFT","derby-10.3.1.4",-1,1.16217673979477e-05,9,9
"30","FFT_SMOTE","derby-10.3.1.4",1,1.16217673979477e-05,5,5
"31","nsga3","groovy-1_5_7",0,NA,7,7
"32","DT","groovy-1_5_7",0.8,1.51911330635661e-05,5.6,5
"33","DT_SMOTE","groovy-1_5_7",-1,5.00469513679344e-08,37,37
"34","FFT","groovy-1_5_7",1,2.96211233475159e-08,5,5
"35","FFT_SMOTE","groovy-1_5_7",0,NA,7,7
"36","nsga3","groovy-1_6_BETA_1",3.65481054918501e-18,1,6.70967741935484,7
"37","DT","groovy-1_6_BETA_1",-0.290322580645161,0.059587268281325,7,7
"38","DT_SMOTE","groovy-1_6_BETA_1",-1,2.62906865406321e-07,39.2,41
"39","FFT","groovy-1_6_BETA_1",-0.290322580645161,0.0486325835883,7,7
"40","FFT_SMOTE","groovy-1_6_BETA_1",-0.290322580645161,0.0486325835883,7,7
"41","nsga3","hbase-0.94.0",0,1,6.8,7
"42","DT","hbase-0.94.0",-0.2,0.167488755574855,7,7
"43","DT_SMOTE","hbase-0.94.0",-1,8.17125384785596e-05,84.2,85
"44","FFT","hbase-0.94.0",-1,1.8228960477242e-05,9,9
"45","FFT_SMOTE","hbase-0.94.0",-1,1.8228960477242e-05,9,9
"46","nsga3","hbase-0.95.0",0,1,6.8,7
"47","DT","hbase-0.95.0",-1,6.15821864574984e-05,14.2,13
"48","DT_SMOTE","hbase-0.95.0",-1,3.28993680586492e-05,57,57
"49","FFT","hbase-0.95.0",1,1.8228960477242e-05,5,5
"50","FFT_SMOTE","hbase-0.95.0",-0.2,0.146334742136669,7,7
"51","nsga3","hive-0.10.0",-3.6233337119193e-18,1,6.87096774193548,7
"52","DT","hive-0.10.0",1,2.03979539373694e-08,5,5
"53","DT_SMOTE","hive-0.10.0",-1,2.03979539373694e-08,57,57
"54","FFT","hive-0.10.0",-1,9.04235652334077e-09,9,9
"55","FFT_SMOTE","hive-0.10.0",1,9.04235652334077e-09,5,5
"56","nsga3","hive-0.9.0",-7.21868801293575e-18,1,6.74193548387097,7
"57","DT","hive-0.9.0",-1,1.62750872184541e-07,19,19
"58","DT_SMOTE","hive-0.9.0",-1,1.83906286563918e-07,65.8,63
"59","FFT","hive-0.9.0",1,6.69768534015942e-08,5,5
"60","FFT_SMOTE","hive-0.9.0",1,6.69768534015942e-08,5,5
"61","nsga3","jruby-1.1",-7.26065712929002e-18,1,6.58064516129032,7
"62","DT","jruby-1.1",-1,4.90249057877393e-07,15,15
"63","DT_SMOTE","jruby-1.1",-1,5.76618150421166e-07,42,42
"64","FFT","jruby-1.1",-0.419354838709677,0.0112158224786694,7,7
"65","FFT_SMOTE","jruby-1.1",-0.419354838709677,0.0112158224786694,7,7
"66","nsga3","jruby-1.4.0",-7.21868801293575e-18,1,6.74193548387097,7
"67","DT","jruby-1.4.0",1,1.62750872184541e-07,5,5
"68","DT_SMOTE","jruby-1.4.0",-1,2.05232722407789e-07,90.8,109
"69","FFT","jruby-1.4.0",1,6.69768534015942e-08,5,5
"70","FFT_SMOTE","jruby-1.4.0",-0.258064516129032,0.0673770028169405,7,7
"71","nsga3","jruby-1.5.0",0,1,6.7741935483871,7
"72","DT","jruby-1.5.0",-1,1.09917792476051e-07,15,15
"73","DT_SMOTE","jruby-1.5.0",-1,1.18218090889426e-07,35.4,31
"74","FFT","jruby-1.5.0",-1,4.57128104532906e-08,9,9
"75","FFT_SMOTE","jruby-1.5.0",-0.225806451612903,0.0922542217843925,7,7
"76","nsga3","lucene-2.3.0",2.21719344273286e-17,1,6.8,7
"77","DT","lucene-2.3.0",-1,4.76822916101171e-05,11,11
"78","DT_SMOTE","lucene-2.3.0",-1,4.76822916101171e-05,25,25
"79","FFT","lucene-2.3.0",-1,2.57756783864908e-05,9,9
"80","FFT_SMOTE","lucene-2.3.0",-0.2,0.279541380072366,7,7
"81","nsga3","lucene-2.9.0",-1.06811401121636e-17,1,6.61290322580645,7
"82","DT","lucene-2.9.0",-1,4.33360810221688e-07,15,15
"83","DT_SMOTE","lucene-2.9.0",-1,5.2816036236307e-07,59.2,59
"84","FFT","lucene-2.9.0",-0.387096774193548,0.0166630844165363,7,7
"85","FFT_SMOTE","lucene-2.9.0",-0.387096774193548,0.0166630844165363,7,7
"86","nsga3","lucene-3.0.0",-7.21868801293575e-18,1,6.74193548387097,7
"87","DT","lucene-3.0.0",-1,1.62750872184541e-07,11,11
"88","DT_SMOTE","lucene-3.0.0",-1,1.9098438901276e-07,76.4,77
"89","FFT","lucene-3.0.0",1,6.69768534015942e-08,5,5
"90","FFT_SMOTE","lucene-3.0.0",-1,6.69768534015942e-08,9,9
"91","nsga3","wicket-1.3.0-beta2",7.14873948567862e-18,1,6.83870967741935,7
"92","DT","wicket-1.3.0-beta2",0.8,2.35121284213253e-05,9,5
"93","DT_SMOTE","wicket-1.3.0-beta2",-1,1.38842868282223e-07,86,86
"94","FFT","wicket-1.3.0-beta2",1,4.72504387533139e-08,5,5
"95","FFT_SMOTE","wicket-1.3.0-beta2",-1,4.72504387533139e-08,9,9
"96","nsga3","wicket-1.3.0-incubating-beta-1",1.79540382337237e-17,1,6.64516129032258,7
"97","DT","wicket-1.3.0-incubating-beta-1",-1,3.66324682779923e-07,9,9
"98","DT_SMOTE","wicket-1.3.0-incubating-beta-1",-1,3.66324682779923e-07,55,55
"99","FFT","wicket-1.3.0-incubating-beta-1",-0.354838709677419,0.0242403121079037,7,7
"100","FFT_SMOTE","wicket-1.3.0-incubating-beta-1",-0.354838709677419,0.0242403121079037,7,7
"101","nsga3","all",0,1,6.78185745140389,7
"102","DT","all",-0.541814254859611,7.85738954986233e-35,13.04,13
"103","DT_SMOTE","all",-1,1.71185595864654e-110,52.95,51
"104","FFT","all",-0.0654427645788337,0.111328533026326,7,7
"105","FFT_SMOTE","all",-0.148164146868251,0.000173559572784479,7.1,7
