"file_id","group","algorithm","mean","median"
"activemq-5.0.0_exp_0_train",1,"nsga3",0.349755754110212,0.362406343202153
"activemq-5.0.0_exp_0_train",3,"RF",0.281621843303683,0.279328358208955
"activemq-5.0.0_exp_0_train",3,"LR",0.281368821292776,0.281368821292776
"activemq-5.0.0_exp_0_train",2,"NB",0.338394793926247,0.338394793926247
"activemq-5.0.0_exp_0_train",4,"DT",0.191016910238168,0.192448534294659
"activemq-5.1.0_exp_68_train",1,"nsga3",0.487082958702429,0.492660492660493
"activemq-5.1.0_exp_68_train",5,"RF",0.285442198477747,0.284697508896797
"activemq-5.1.0_exp_68_train",3,"LR",0.395770392749245,0.395770392749245
"activemq-5.1.0_exp_68_train",2,"NB",0.440087145969499,0.440087145969499
"activemq-5.1.0_exp_68_train",4,"DT",0.37612035117462,0.376795032308481
"activemq-5.2.0_exp_37_train",2,"nsga3",0.404609176081388,0.403063741033555
"activemq-5.2.0_exp_37_train",3,"RF",0.401636088062212,0.402266069408063
"activemq-5.2.0_exp_37_train",4,"LR",0.391254315304948,0.391254315304948
"activemq-5.2.0_exp_37_train",5,"NB",0.366427840327533,0.366427840327533
"activemq-5.2.0_exp_37_train",1,"DT",0.411821659092361,0.409746811345898
"activemq-5.3.0_exp_32_train",2,"nsga3",0.299080121557767,0.31511620265919
"activemq-5.3.0_exp_32_train",1,"RF",0.335932537055956,0.33278396152805
"activemq-5.3.0_exp_32_train",4,"LR",0.182172430589381,0.182172430589381
"activemq-5.3.0_exp_32_train",3,"NB",0.263333333333333,0.263333333333333
"activemq-5.3.0_exp_32_train",5,"DT",0.180232809080405,0.180230884649539
"groovy-1_5_7_exp_51_train",3,"nsga3",0.302326398674352,0.304347826086956
"groovy-1_5_7_exp_51_train",5,"RF",0.224685620247418,0.224719101123595
"groovy-1_5_7_exp_51_train",1,"LR",0.419753086419753,0.419753086419753
"groovy-1_5_7_exp_51_train",2,"NB",0.351145038167939,0.351145038167939
"groovy-1_5_7_exp_51_train",4,"DT",0.238683136349998,0.25
"groovy-1_6_BETA_1_exp_53_train",1,"nsga3",0.397354839688404,0.392551228053571
"groovy-1_6_BETA_1_exp_53_train",2,"RF",0.388754853910755,0.393149882903981
"groovy-1_6_BETA_1_exp_53_train",4,"LR",0.332247557003257,0.332247557003257
"groovy-1_6_BETA_1_exp_53_train",5,"NB",0.156576200417537,0.156576200417537
"groovy-1_6_BETA_1_exp_53_train",3,"DT",0.364395941294197,0.345428719008264
"hbase-0.94.0_exp_25_train",1,"nsga3",0.427591739378294,0.42577334951353
"hbase-0.94.0_exp_25_train",4,"RF",0.318215480655436,0.318140424026673
"hbase-0.94.0_exp_25_train",2,"LR",0.373346897253306,0.373346897253306
"hbase-0.94.0_exp_25_train",3,"NB",0.365079365079365,0.365079365079365
"hbase-0.94.0_exp_25_train",5,"DT",0.256748870539432,0.250228421242612
"hbase-0.95.0_exp_3_train",1,"nsga3",0.487634727247794,0.482354002371012
"hbase-0.95.0_exp_3_train",3,"RF",0.415060664031129,0.414805511300512
"hbase-0.95.0_exp_3_train",2,"LR",0.475247524752475,0.475247524752475
"hbase-0.95.0_exp_3_train",5,"NB",0.0242914979757085,0.0242914979757085
"hbase-0.95.0_exp_3_train",4,"DT",0.401596158243819,0.399998024652339
"hive-0.10.0_exp_19_train",1,"nsga3",0.312979601306435,0.315193910763593
"hive-0.10.0_exp_19_train",1,"RF",0.313177080036905,0.3107094697464
"hive-0.10.0_exp_19_train",3,"LR",0.152110625909752,0.152110625909752
"hive-0.10.0_exp_19_train",4,"NB",0.0089285714285714,0.0089285714285714
"hive-0.10.0_exp_19_train",2,"DT",0.245554079074418,0.245238890745072
"hive-0.9.0_exp_47_train",1,"nsga3",0.452580369299207,0.45470665882091
"hive-0.9.0_exp_47_train",2,"RF",0.382878327214908,0.381175589745753
"hive-0.9.0_exp_47_train",4,"LR",0.3648,0.3648
"hive-0.9.0_exp_47_train",5,"NB",0.251968503937008,0.251968503937008
"hive-0.9.0_exp_47_train",3,"DT",0.375524765375757,0.37727949556969
"jruby-1.1_exp_30_train",2,"nsga3",0.430531607091813,0.431674875301942
"jruby-1.1_exp_30_train",4,"RF",0.374042668894323,0.373913043478261
"jruby-1.1_exp_30_train",1,"LR",0.441441441441441,0.441441441441441
"jruby-1.1_exp_30_train",5,"NB",0.0744680851063829,0.0744680851063829
"jruby-1.1_exp_30_train",3,"DT",0.386902930282736,0.389309083489995
"jruby-1.4.0_exp_41_train",1,"nsga3",0.38614541658934,0.378273912541825
"jruby-1.4.0_exp_41_train",1,"RF",0.385285300645242,0.381982313927782
"jruby-1.4.0_exp_41_train",3,"LR",0.267631103074141,0.267631103074141
"jruby-1.4.0_exp_41_train",4,"NB",0.164948453608247,0.164948453608247
"jruby-1.4.0_exp_41_train",2,"DT",0.333978860742879,0.336996336996337
"jruby-1.5.0_exp_61_train",1,"nsga3",0.307389964853548,0.325879956416694
"jruby-1.5.0_exp_61_train",2,"RF",0.265983987835671,0.263299219779106
"jruby-1.5.0_exp_61_train",5,"LR",0.111479761114798,0.111479761114798
"jruby-1.5.0_exp_61_train",4,"NB",0.215568862275449,0.215568862275449
"jruby-1.5.0_exp_61_train",3,"DT",0.233723831970654,0.239389563690931
"lucene-2.3.0_exp_57_train",2,"nsga3",0.407275537276399,0.385714890861669
"lucene-2.3.0_exp_57_train",1,"RF",0.470545449446436,0.469016378810193
"lucene-2.3.0_exp_57_train",4,"LR",0.3327239488117,0.3327239488117
"lucene-2.3.0_exp_57_train",5,"NB",0.028169014084507,0.028169014084507
"lucene-2.3.0_exp_57_train",3,"DT",0.355910971946205,0.354881967576417
"lucene-2.9.0_exp_11_train",3,"nsga3",0.3778594667754,0.377432915734215
"lucene-2.9.0_exp_11_train",1,"RF",0.587373656440471,0.589944220096163
"lucene-2.9.0_exp_11_train",4,"LR",0.207687120701281,0.207687120701281
"lucene-2.9.0_exp_11_train",5,"NB",0.0127388535031847,0.0127388535031847
"lucene-2.9.0_exp_11_train",2,"DT",0.402290302582001,0.398337595907928
"lucene-3.0.0_exp_43_train",1,"nsga3",0.186434440090113,0.179458825500544
"lucene-3.0.0_exp_43_train",5,"RF",0.0253915336613144,0.025287356321839
"lucene-3.0.0_exp_43_train",2,"LR",0.161048689138577,0.161048689138577
"lucene-3.0.0_exp_43_train",4,"NB",0.054054054054054,0.054054054054054
"lucene-3.0.0_exp_43_train",3,"DT",0.0591276497305156,0.059701763957083
"wicket-1.3.0-beta2_exp_51_train",2,"nsga3",0.223777484345081,0.237248434437593
"wicket-1.3.0-beta2_exp_51_train",5,"RF",0,0
"wicket-1.3.0-beta2_exp_51_train",3,"LR",0.150943396226415,0.150943396226415
"wicket-1.3.0-beta2_exp_51_train",1,"NB",0.236486486486487,0.236486486486487
"wicket-1.3.0-beta2_exp_51_train",4,"DT",0.0556338726733959,0.0551727053650699
"wicket-1.3.0-incubating-beta-1_exp_0_train",1,"nsga3",0.388308940863893,0.382278123233465
"wicket-1.3.0-incubating-beta-1_exp_0_train",1,"RF",0.383613103353745,0.385
"wicket-1.3.0-incubating-beta-1_exp_0_train",3,"LR",0.354916067146283,0.354916067146283
"wicket-1.3.0-incubating-beta-1_exp_0_train",4,"NB",0.349442379182156,0.349442379182156
"wicket-1.3.0-incubating-beta-1_exp_0_train",2,"DT",0.370399652511969,0.366071428571429
"All",1,"nsga3",0.368262141329548,0.382127255460589
"All",2,"RF",0.324424466292964,0.356478329929657
"All",3,"LR",0.299774621051641,0.332485752907479
"All",4,"NB",0.205672693270178,0.226027674380968
"All",3,"DT",0.291092375161307,0.339849354375897
