"","algorithm","file_id","effect_size","p_value","mean","median"
"1","nsga3","activemq-5.0.0",0,NA,4,4
"2","DT","activemq-5.0.0",-1,4.29110078526516e-10,6.5,6.5
"3","DT_SMOTE","activemq-5.0.0",-1,2.89773150672166e-10,19,19
"4","nsga3","activemq-5.1.0",0,NA,4,4
"5","DT","activemq-5.1.0",-1,2.89773150672166e-10,5,5
"6","DT_SMOTE","activemq-5.1.0",-1,4.70465622344904e-10,26.5,26.5
"7","nsga3","activemq-5.2.0",0,NA,4,4
"8","DT","activemq-5.2.0",-1,1.59379116880663e-05,6,6
"9","DT_SMOTE","activemq-5.2.0",-1,1.59379116880663e-05,22,22
"10","nsga3","activemq-5.3.0",0,NA,4,4
"11","DT","activemq-5.3.0",-1,1.59379116880663e-05,15,15
"12","DT_SMOTE","activemq-5.3.0",-1,1.59379116880663e-05,25,25
"13","nsga3","groovy-1_5_7",0,NA,4,4
"14","DT","groovy-1_5_7",0.8,1.51911330635661e-05,2.3,2
"15","DT_SMOTE","groovy-1_5_7",-1,5.00469513679344e-08,18,18
"16","nsga3","groovy-1_6_BETA_1",0,NA,4,4
"17","DT","groovy-1_6_BETA_1",1,2.89773150672166e-10,3,3
"18","DT_SMOTE","groovy-1_6_BETA_1",-1,4.0339029146775e-10,19.1,20
"19","nsga3","hbase-0.94.0",0,NA,4,4
"20","DT","hbase-0.94.0",1,1.59379116880663e-05,3,3
"21","DT_SMOTE","hbase-0.94.0",-1,4.55059681513183e-05,41.6,42
"22","nsga3","hbase-0.95.0",0,NA,4,4
"23","DT","hbase-0.95.0",-1,3.28993680586492e-05,6.6,6
"24","DT_SMOTE","hbase-0.95.0",-1,1.59379116880663e-05,28,28
"25","nsga3","hive-0.10.0",0,NA,4,4
"26","DT","hive-0.10.0",1,2.89773150672166e-10,2,2
"27","DT_SMOTE","hive-0.10.0",-1,2.89773150672166e-10,28,28
"28","nsga3","hive-0.9.0",0,NA,4,4
"29","DT","hive-0.9.0",-1,2.89773150672166e-10,9,9
"30","DT_SMOTE","hive-0.9.0",-1,3.73198071593475e-10,32.4,31
"31","nsga3","jruby-1.1",0,NA,4,4
"32","DT","jruby-1.1",-1,2.89773150672166e-10,7,7
"33","DT_SMOTE","jruby-1.1",-1,4.29110078526516e-10,20.5,20.5
"34","nsga3","jruby-1.4.0",0,NA,4,4
"35","DT","jruby-1.4.0",1,2.89773150672166e-10,2,2
"36","DT_SMOTE","jruby-1.4.0",-1,4.67600836232738e-10,44.9,54
"37","nsga3","jruby-1.5.0",0,NA,4,4
"38","DT","jruby-1.5.0",-1,2.89773150672166e-10,7,7
"39","DT_SMOTE","jruby-1.5.0",-1,3.34349393530113e-10,17.2,15
"40","nsga3","lucene-2.3.0",-2.78097857242532e-18,1,4.1,4
"41","DT","lucene-2.3.0",-0.9,9.66051900821123e-05,5,5
"42","DT_SMOTE","lucene-2.3.0",-1,2.42817473247548e-05,12,12
"43","nsga3","lucene-2.9.0",0,NA,4,4
"44","DT","lucene-2.9.0",-1,2.89773150672166e-10,7,7
"45","DT_SMOTE","lucene-2.9.0",-1,4.63333106738954e-10,29.1,29
"46","nsga3","lucene-3.0.0",0,NA,4,4
"47","DT","lucene-3.0.0",-1,2.89773150672166e-10,5,5
"48","DT_SMOTE","lucene-3.0.0",-1,4.0339029146775e-10,37.7,38
"49","nsga3","wicket-1.3.0-beta2",1.79068229778251e-18,1,4.03225806451613,4
"50","DT","wicket-1.3.0-beta2",0.8,1.24431000791118e-06,4,2
"51","DT_SMOTE","wicket-1.3.0-beta2",-1,1.63521839939016e-09,42.5,42.5
"52","nsga3","wicket-1.3.0-incubating-beta-1",0,NA,4,4
"53","DT","wicket-1.3.0-incubating-beta-1",0,NA,4,4
"54","DT_SMOTE","wicket-1.3.0-incubating-beta-1",-1,2.89773150672166e-10,27,27
"55","nsga3","all",1.61773732734293e-19,1,4.00451467268623,4
"56","DT","all",-0.369074492099323,1.85710903880298e-20,6.02,6
"57","DT_SMOTE","all",-1,1.50979599082134e-134,25.975,25
