"","algorithm","file_id","effect_size","p_value","mean","median"
"1","nsga3","activemq-5.0.0_exp_0_train",-1.82915398777393e-18,1,9.90322580645161,9
"2","DT","activemq-5.0.0_exp_0_train",-0.870967741935484,3.25980591269775e-06,14,14
"3","DT_SMOTE","activemq-5.0.0_exp_0_train",-1,7.28703415133263e-08,39,39
"4","DT_cost_sensitive","activemq-5.0.0_exp_0_train",-0.935483870967742,4.7667627919815e-07,19,19
"5","nsga3","activemq-5.1.0_exp_68_train",-3.65481054918501e-18,1,10.6129032258065,9
"6","DT","activemq-5.1.0_exp_68_train",-0.903225806451613,2.23898790623432e-06,11,11
"7","DT_SMOTE","activemq-5.1.0_exp_68_train",-0.97741935483871,4.09046585400524e-07,54,54
"8","DT_cost_sensitive","activemq-5.1.0_exp_68_train",-0.935483870967742,1.03147671991313e-06,13,13
"9","nsga3","activemq-5.2.0_exp_37_train",1.6154612370034e-17,1,10.0322580645161,9
"10","DT","activemq-5.2.0_exp_37_train",-0.870967741935484,9.08836839640681e-06,13,13
"11","DT_SMOTE","activemq-5.2.0_exp_37_train",-1,3.43815883344969e-07,45,45
"12","DT_cost_sensitive","activemq-5.2.0_exp_37_train",0.32258064516129,0.0452121226710335,9,9
"13","nsga3","activemq-5.3.0_exp_32_train",7.12076007477576e-18,1,9.25806451612903,9
"14","DT","activemq-5.3.0_exp_32_train",-1,1.13726306686361e-07,31,31
"15","DT_SMOTE","activemq-5.3.0_exp_32_train",-1,1.13726306686361e-07,51,51
"16","DT_cost_sensitive","activemq-5.3.0_exp_32_train",-1,1.13726306686361e-07,29,29
"17","nsga3","groovy-1_5_7_exp_51_train",0,1,9.2,9
"18","DT","groovy-1_5_7_exp_51_train",0.8,0.00642116950966966,5.6,5
"19","DT_SMOTE","groovy-1_5_7_exp_51_train",-1,0.000295869548037869,37,37
"20","DT_cost_sensitive","groovy-1_5_7_exp_51_train",-1,0.000295869548037869,11,11
"21","nsga3","groovy-1_6_BETA_1_exp_53_train",0,NA,9,9
"22","DT","groovy-1_6_BETA_1_exp_53_train",1,0.000245581468874924,7,7
"23","DT_SMOTE","groovy-1_6_BETA_1_exp_53_train",-1,0.00119092233809089,39.2,41
"24","DT_cost_sensitive","groovy-1_6_BETA_1_exp_53_train",-1,0.000245581468874924,17,17
"25","nsga3","hbase-0.94.0_exp_25_train",0,1,9.2,9
"26","DT","hbase-0.94.0_exp_25_train",1,0.000295869548037869,7,7
"27","DT_SMOTE","hbase-0.94.0_exp_25_train",-1,0.00157875723437936,84.2,85
"28","DT_cost_sensitive","hbase-0.94.0_exp_25_train",0.2,0.203091787577168,9,9
"29","nsga3","hbase-0.95.0_exp_3_train",0,NA,9,9
"30","DT","hbase-0.95.0_exp_3_train",-1,0.000871914315588791,14.2,13
"31","DT_SMOTE","hbase-0.95.0_exp_3_train",-1,0.000245581468874924,57,57
"32","DT_cost_sensitive","hbase-0.95.0_exp_3_train",-1,0.000245581468874924,11,11
"33","nsga3","hive-0.10.0_exp_19_train",0,NA,9,9
"34","DT","hive-0.10.0_exp_19_train",1,0.000245581468874924,5,5
"35","DT_SMOTE","hive-0.10.0_exp_19_train",-1,0.000245581468874924,57,57
"36","DT_cost_sensitive","hive-0.10.0_exp_19_train",1,0.000245581468874924,7,7
"37","nsga3","hive-0.9.0_exp_47_train",-2.22044604925031e-17,1,9.4,9
"38","DT","hive-0.9.0_exp_47_train",-1,0.000323623649408121,19,19
"39","DT_SMOTE","hive-0.9.0_exp_47_train",-1,0.00105533722545743,65.8,63
"40","DT_cost_sensitive","hive-0.9.0_exp_47_train",-1,0.000323623649408121,21,21
"41","nsga3","jruby-1.1_exp_30_train",0,1,9.2,9
"42","DT","jruby-1.1_exp_30_train",-1,0.000295869548037869,15,15
"43","DT_SMOTE","jruby-1.1_exp_30_train",-1,0.00166498413056453,42,42
"44","DT_cost_sensitive","jruby-1.1_exp_30_train",-1,0.000295869548037869,11,11
"45","nsga3","jruby-1.4.0_exp_41_train",0,1,9.2,9
"46","DT","jruby-1.4.0_exp_41_train",1,0.000295869548037869,5,5
"47","DT_SMOTE","jruby-1.4.0_exp_41_train",-1,0.0022033303795997,90.8,109
"48","DT_cost_sensitive","jruby-1.4.0_exp_41_train",1,0.000295869548037869,5,5
"49","nsga3","jruby-1.5.0_exp_61_train",0,1,9.2,9
"50","DT","jruby-1.5.0_exp_61_train",-1,0.000295869548037869,15,15
"51","DT_SMOTE","jruby-1.5.0_exp_61_train",-1,0.00061639083471582,35.4,31
"52","DT_cost_sensitive","jruby-1.5.0_exp_61_train",1,0.00166498413056453,6,6
"53","nsga3","lucene-2.3.0_exp_57_train",0,1,12.8,9
"54","DT","lucene-2.3.0_exp_57_train",-0.6,0.0335619864280389,11,11
"55","DT_SMOTE","lucene-2.3.0_exp_57_train",-0.6,0.0335619864280389,25,25
"56","DT_cost_sensitive","lucene-2.3.0_exp_57_train",0.4,0.0492193245093913,9,9
