"","algorithm","file_id","effect_size","p_value","mean","median"
"1","nsga3","activemq-5.0.0",-7.21169316021003e-18,1,0.328383299880066,0.394495412844037
"2","DFDP","activemq-5.0.0",-0.340270551508845,0.0216680056636849,0.395949915450774,0.401639344262295
"3","RF","activemq-5.0.0",0.483870967741935,0.0234161557159812,0.282921554489986,0.280265414823508
"4","LR","activemq-5.0.0",0.483870967741935,0.0224415961481735,0.317180616740088,0.317180616740088
"5","DT","activemq-5.0.0",0.483870967741935,0.0230715337460431,0.257964257964258,0.290598290598291
"6","NB","activemq-5.0.0",0.483870967741935,0.0224415961481735,0.338394793926247,0.338394793926247
"7","FFT","activemq-5.0.0",0.483870967741935,0.0224415961481735,0.324561404,0.324561404
"8","nsga3","activemq-5.1.0",-1.25102940999376e-17,1,0.414708530977362,0.409566517189836
"9","DFDP","activemq-5.1.0",1,1.39118465216869e-11,0.306089400262341,0.304498269896194
"10","RF","activemq-5.1.0",1,2.6882890720216e-06,0.228622013116412,0.229369089260267
"11","LR","activemq-5.1.0",1,2.29482375090894e-06,0.277992277992278,0.277992277992278
"12","DT","activemq-5.1.0",1,2.60594509102823e-06,0.22221496669714,0.22221496669714
"13","NB","activemq-5.1.0",-0.741935483870968,0.000461582352537516,0.440087145969499,0.440087145969499
"14","FFT","activemq-5.1.0",1,2.29482375090894e-06,0.366834171,0.366834171
"15","nsga3","activemq-5.2.0",-3.66880025463643e-18,1,0.415379426004244,0.416210295728368
"16","DFDP","activemq-5.2.0",-0.180020811654527,0.219240049934508,0.417842845048956,0.420432220039293
"17","RF","activemq-5.2.0",-0.290322580645161,0.154572892710909,0.415404766743557,0.417919105626747
"18","LR","activemq-5.2.0",1,6.28000704045137e-07,0,0
"19","DT","activemq-5.2.0",1,6.28000704045137e-07,0.389333333333333,0.389333333333333
"20","NB","activemq-5.2.0",1,6.28000704045137e-07,0.366427840327533,0.366427840327533
"21","FFT","activemq-5.2.0",1,6.28000704045137e-07,0.367088608,0.367088608
"22","nsga3","activemq-5.3.0",0,1,0.138062286582973,0.113623827909542
"23","DFDP","activemq-5.3.0",-1,6.59707677693217e-06,0.375022313711223,0.376744186046512
"24","RF","activemq-5.3.0",-1,0.000246655821094752,0.373740257600891,0.373524542726012
"25","LR","activemq-5.3.0",-1,7.19426615040365e-05,0.351816443594646,0.351816443594646
"26","DT","activemq-5.3.0",-1,7.19426615040365e-05,0.316758747697974,0.316758747697974
"27","NB","activemq-5.3.0",-1,7.19426615040365e-05,0.263333333333333,0.263333333333333
"28","FFT","activemq-5.3.0",-1,7.19426615040365e-05,0.248025276,0.248025276
"29","nsga3","derby-10.2.1.6",-5.32549781389904e-18,1,0.594926727587551,0.622929936305732
"30","DFDP","derby-10.2.1.6",-1,1.06986728463751e-09,0.639892137152273,0.640344580043073
"31","RF","derby-10.2.1.6",0.619047619047619,0.00498386724477869,0.595315458336712,0.594947306704297
"32","LR","derby-10.2.1.6",0.619047619047619,0.00424974989498291,0.488824801730353,0.488824801730353
"33","DT","derby-10.2.1.6",0.619047619047619,0.00424974989498291,0.563706563706564,0.563706563706564
"34","NB","derby-10.2.1.6",1,3.62101436637653e-06,0.0291120815138282,0.0291120815138282
"35","FFT","derby-10.2.1.6",0.619047619047619,0.00424974989498291,0.608339029,0.608339029
"36","nsga3","derby-10.3.1.4",3.66880025463643e-18,1,0.405174014461323,0.409385113268608
"37","DFDP","derby-10.3.1.4",-0.975026014568158,4.42240713412015e-11,0.489517821647139,0.487244897959184
"38","RF","derby-10.3.1.4",-0.864516129032258,5.03949686663747e-05,0.467693150828796,0.464861826069081
"39","LR","derby-10.3.1.4",0.935483870967742,9.88388122675086e-06,0.358156028368794,0.358156028368794
"40","DT","derby-10.3.1.4",0.935483870967742,9.88388122675086e-06,0.351075877689694,0.351075877689694
"41","NB","derby-10.3.1.4",1,2.29482375090894e-06,0.04,0.04
"42","FFT","derby-10.3.1.4",1,2.29482375090894e-06,0.288350634,0.288350634
"43","nsga3","groovy-1_5_7",0,1,0.340979691280065,0.340659340659341
"44","DFDP","groovy-1_5_7",0.993855606758833,1.66698339394906e-09,0.238334095861286,0.241758241758242
"45","RF","groovy-1_5_7",1,7.08009493150933e-06,0,0
"46","LR","groovy-1_5_7",1,7.08009493150933e-06,0.258823529411765,0.258823529411765
"47","DT","groovy-1_5_7",0.457142857142857,0.0442077864380096,0.317579506794424,0.310727969348659
"48","NB","groovy-1_5_7",-0.333333333333333,0.138137504295785,0.351145038167939,0.351145038167939
"49","FFT","groovy-1_5_7",-0.80952380952381,0.000281567059828283,0.384615385,0.384615385
"50","nsga3","groovy-1_6_BETA_1",-5.48046711059608e-18,1,0.420978168936764,0.42152466367713
"51","DFDP","groovy-1_6_BETA_1",0.227887617065557,0.124525025800935,0.369333529942245,0.39622641509434
"52","RF","groovy-1_6_BETA_1",0.851612903225807,6.18949169277206e-05,0.214337671892969,0.19047619047619
"53","LR","groovy-1_6_BETA_1",1,2.14343031036494e-06,0.18,0.18
"54","DT","groovy-1_6_BETA_1",1,2.14343031036494e-06,0,0
"55","NB","groovy-1_6_BETA_1",1,2.14343031036494e-06,0.156576200417537,0.156576200417537
"56","FFT","groovy-1_6_BETA_1",1,2.14343031036494e-06,0.358744395,0.358744395
"57","nsga3","hbase-0.94.0",-5.48046711059608e-18,1,0.478458251071322,0.486202365308804
"58","DFDP","hbase-0.94.0",1,1.30929830729496e-11,0.379668610357729,0.384615384615385
"59","RF","hbase-0.94.0",1,2.42520729628487e-06,0.36545689133009,0.365305010893246
"60","LR","hbase-0.94.0",1,2.04719362478033e-06,0.229508196721311,0.229508196721311
"61","DT","hbase-0.94.0",1,2.04719362478033e-06,0.367112810707457,0.367112810707457
"62","NB","hbase-0.94.0",1,2.04719362478033e-06,0.365079365079365,0.365079365079365
"63","FFT","hbase-0.94.0",0.741935483870968,0.00043273655726784,0.455598456,0.455598456
"64","nsga3","hbase-0.95.0",7.21169316021003e-18,1,0.48720422523625,0.489530685920578
"65","DFDP","hbase-0.95.0",0.985431841831426,2.74602673213896e-11,0.414801400613056,0.416666666666667
"66","RF","hbase-0.95.0",0.864516129032258,4.72747534291977e-05,0.076546322102045,0
"67","LR","hbase-0.95.0",1,2.29482375090894e-06,0.307219662058372,0.307219662058372
"68","DT","hbase-0.95.0",1,2.67486378788587e-06,0.283564926404884,0.284810126582278
"69","NB","hbase-0.95.0",1,2.29482375090894e-06,0.0242914979757085,0.0242914979757085
"70","FFT","hbase-0.95.0",-0.290322580645161,0.17348728921803,0.499252616,0.499252616
"71","nsga3","hive-0.10.0",-1.82915398777393e-18,1,0.260263633106895,0.262694651320244
