"","algorithm","file_id","effect_size","p_value","mean","median"
"1","nsga3","activemq-5.0.0",-7.21169316021003e-18,1,0.328383299880066,0.394495412844037
"2","RF","activemq-5.0.0",0.483870967741935,0.0234161557159812,0.282921554489986,0.280265414823508
"3","LR","activemq-5.0.0",0.483870967741935,0.0224415961481735,0.317180616740088,0.317180616740088
"4","NB","activemq-5.0.0",0.483870967741935,0.0224415961481735,0.338394793926247,0.338394793926247
"5","DT","activemq-5.0.0",0.483870967741935,0.0230715337460431,0.257964257964258,0.290598290598291
"6","FFT","activemq-5.0.0",0.483870967741935,0.0224415961481735,0.324561404,0.324561404
"7","nsga3","activemq-5.1.0",-1.25102940999376e-17,1,0.414708530977362,0.409566517189836
"8","RF","activemq-5.1.0",1,2.6882890720216e-06,0.228622013116412,0.229369089260267
"9","LR","activemq-5.1.0",1,2.29482375090894e-06,0.277992277992278,0.277992277992278
"10","NB","activemq-5.1.0",-0.741935483870968,0.000461582352537516,0.440087145969499,0.440087145969499
"11","DT","activemq-5.1.0",1,2.60594509102823e-06,0.22221496669714,0.22221496669714
"12","FFT","activemq-5.1.0",1,2.29482375090894e-06,0.366834171,0.366834171
"13","nsga3","activemq-5.2.0",-3.66880025463643e-18,1,0.415379426004244,0.416210295728368
"14","RF","activemq-5.2.0",-0.290322580645161,0.154572892710909,0.415404766743557,0.417919105626747
"15","LR","activemq-5.2.0",1,6.28000704045137e-07,0,0
"16","NB","activemq-5.2.0",1,6.28000704045137e-07,0.366427840327533,0.366427840327533
"17","DT","activemq-5.2.0",1,6.28000704045137e-07,0.389333333333333,0.389333333333333
"18","FFT","activemq-5.2.0",1,6.28000704045137e-07,0.367088608,0.367088608
"19","nsga3","activemq-5.3.0",0,1,0.138062286582973,0.113623827909542
"20","RF","activemq-5.3.0",-1,0.000246655821094752,0.373740257600891,0.373524542726012
"21","LR","activemq-5.3.0",-1,7.19426615040365e-05,0.351816443594646,0.351816443594646
"22","NB","activemq-5.3.0",-1,7.19426615040365e-05,0.263333333333333,0.263333333333333
"23","DT","activemq-5.3.0",-1,7.19426615040365e-05,0.316758747697974,0.316758747697974
"24","FFT","activemq-5.3.0",-1,7.19426615040365e-05,0.248025276,0.248025276
"25","nsga3","derby-10.2.1.6",-5.32549781389904e-18,1,0.594926727587551,0.622929936305732
"26","RF","derby-10.2.1.6",0.619047619047619,0.00498386724477869,0.595315458336712,0.594947306704297
"27","LR","derby-10.2.1.6",0.619047619047619,0.00424974989498291,0.488824801730353,0.488824801730353
"28","NB","derby-10.2.1.6",1,3.62101436637653e-06,0.0291120815138282,0.0291120815138282
"29","DT","derby-10.2.1.6",0.619047619047619,0.00424974989498291,0.563706563706564,0.563706563706564
"30","FFT","derby-10.2.1.6",0.619047619047619,0.00424974989498291,0.608339029,0.608339029
"31","nsga3","derby-10.3.1.4",3.66880025463643e-18,1,0.405174014461323,0.409385113268608
"32","RF","derby-10.3.1.4",-0.864516129032258,5.03949686663747e-05,0.467693150828796,0.464861826069081
"33","LR","derby-10.3.1.4",0.935483870967742,9.88388122675086e-06,0.358156028368794,0.358156028368794
"34","NB","derby-10.3.1.4",1,2.29482375090894e-06,0.04,0.04
"35","DT","derby-10.3.1.4",0.935483870967742,9.88388122675086e-06,0.351075877689694,0.351075877689694
"36","FFT","derby-10.3.1.4",1,2.29482375090894e-06,0.288350634,0.288350634
"37","nsga3","groovy-1_5_7",0,1,0.340979691280065,0.340659340659341
"38","RF","groovy-1_5_7",1,7.08009493150933e-06,0,0
"39","LR","groovy-1_5_7",1,7.08009493150933e-06,0.258823529411765,0.258823529411765
"40","NB","groovy-1_5_7",-0.333333333333333,0.138137504295785,0.351145038167939,0.351145038167939
"41","DT","groovy-1_5_7",0.457142857142857,0.0442077864380096,0.317579506794424,0.310727969348659
"42","FFT","groovy-1_5_7",-0.80952380952381,0.000281567059828283,0.384615385,0.384615385
"43","nsga3","groovy-1_6_BETA_1",-5.48046711059608e-18,1,0.420978168936764,0.42152466367713
"44","RF","groovy-1_6_BETA_1",0.851612903225807,6.18949169277206e-05,0.214337671892969,0.19047619047619
"45","LR","groovy-1_6_BETA_1",1,2.14343031036494e-06,0.18,0.18
"46","NB","groovy-1_6_BETA_1",1,2.14343031036494e-06,0.156576200417537,0.156576200417537
"47","DT","groovy-1_6_BETA_1",1,2.14343031036494e-06,0,0
"48","FFT","groovy-1_6_BETA_1",1,2.14343031036494e-06,0.358744395,0.358744395
"49","nsga3","hbase-0.94.0",-5.48046711059608e-18,1,0.478458251071322,0.486202365308804
"50","RF","hbase-0.94.0",1,2.42520729628487e-06,0.36545689133009,0.365305010893246
"51","LR","hbase-0.94.0",1,2.04719362478033e-06,0.229508196721311,0.229508196721311
"52","NB","hbase-0.94.0",1,2.04719362478033e-06,0.365079365079365,0.365079365079365
"53","DT","hbase-0.94.0",1,2.04719362478033e-06,0.367112810707457,0.367112810707457
"54","FFT","hbase-0.94.0",0.741935483870968,0.00043273655726784,0.455598456,0.455598456
"55","nsga3","hbase-0.95.0",7.21169316021003e-18,1,0.48720422523625,0.489530685920578
"56","RF","hbase-0.95.0",0.864516129032258,4.72747534291977e-05,0.076546322102045,0
"57","LR","hbase-0.95.0",1,2.29482375090894e-06,0.307219662058372,0.307219662058372
"58","NB","hbase-0.95.0",1,2.29482375090894e-06,0.0242914979757085,0.0242914979757085
"59","DT","hbase-0.95.0",1,2.67486378788587e-06,0.283564926404884,0.284810126582278
"60","FFT","hbase-0.95.0",-0.290322580645161,0.17348728921803,0.499252616,0.499252616
"61","nsga3","hive-0.10.0",-1.82915398777393e-18,1,0.260263633106895,0.262694651320244
"62","RF","hive-0.10.0",0.6,0.004822656802247,0.106822839511376,0
"63","LR","hive-0.10.0",1,2.19067141966933e-06,0.184143222506394,0.184143222506394
"64","NB","hive-0.10.0",1,2.19067141966933e-06,0.0089285714285714,0.0089285714285714
"65","DT","hive-0.10.0",1,2.19067141966933e-06,0,0
"66","FFT","hive-0.10.0",0.354838709677419,0.0948657289084725,0.260981912,0.260981912
"67","nsga3","hive-0.9.0",-8.85898097711543e-18,1,0.415373975840904,0.423963133640553
"68","RF","hive-0.9.0",0.670967741935484,0.0016646670815535,0.385961128306072,0.385125497546805
"69","LR","hive-0.9.0",1,2.26899188578855e-06,0.32520325203252,0.32520325203252
"70","NB","hive-0.9.0",1,2.26899188578855e-06,0.251968503937008,0.251968503937008
"71","DT","hive-0.9.0",0.67741935483871,0.00138476528698775,0.390022675736961,0.390022675736961
"72","FFT","hive-0.9.0",0.806451612903226,0.000139063243290441,0.383098592,0.383098592
"73","nsga3","jruby-1.1",-3.66880025463643e-18,1,0.46658839093404,0.48
"74","RF","jruby-1.1",0.941935483870968,9.76040123275674e-06,0.416279784192817,0.417538354253835
"75","LR","jruby-1.1",1,2.24340222088482e-06,0.416,0.416
"76","NB","jruby-1.1",1,2.24340222088482e-06,0.0744680851063829,0.0744680851063829
"77","DT","jruby-1.1",1,2.24340222088482e-06,0.304932735426009,0.304932735426009
"78","FFT","jruby-1.1",0.225806451612903,0.290854070896171,0.436482085,0.436482085
"79","nsga3","jruby-1.4.0",-3.66880025463643e-18,1,0.297382935075645,0.30316742081448
"80","RF","jruby-1.4.0",-1,2.62435356203736e-06,0.486680455104231,0.483780287576496
"81","LR","jruby-1.4.0",-1,2.22034757405716e-06,0.411111111111111,0.411111111111111
"82","NB","jruby-1.4.0",1,2.22034757405716e-06,0.164948453608247,0.164948453608247
"83","DT","jruby-1.4.0",-1,2.22034757405716e-06,0.388888888888889,0.388888888888889
"84","FFT","jruby-1.4.0",-1,2.22034757405716e-06,0.340136054,0.340136054
"85","nsga3","jruby-1.5.0",-7.26065712929002e-18,1,0.182763896133506,0.171683389074693
"86","RF","jruby-1.5.0",-1,2.18840237217522e-06,0.359575852160938,0.359442612816814
"87","LR","jruby-1.5.0",1,1.83982439072252e-06,0.0224719101123595,0.0224719101123595
"88","NB","jruby-1.5.0",-0.806451612903226,0.000121044473607212,0.215568862275449,0.215568862275449
"89","DT","jruby-1.5.0",-1,1.92993999236492e-06,0.388611167103407,0.388429752066116
"90","FFT","jruby-1.5.0",-1,1.83982439072252e-06,0.317380353,0.317380353
"91","nsga3","lucene-2.3.0",2.50170907735123e-17,1,0.43807631678784,0.438116100766703
"92","RF","lucene-2.3.0",-0.8,6.22791483756866e-05,0.485099921890868,0.493615427212613
"93","LR","lucene-2.3.0",1,4.40369393586879e-07,0.194092827004219,0.194092827004219
"94","NB","lucene-2.3.0",1,4.40369393586879e-07,0.028169014084507,0.028169014084507
"95","DT","lucene-2.3.0",1,4.40369393586879e-07,0.41635687732342,0.41635687732342
"96","FFT","lucene-2.3.0",-1,4.40369393586879e-07,0.442477876,0.442477876
"97","nsga3","lucene-2.9.0",-3.66880025463643e-18,1,0.377168365975922,0.379501385041551
"98","RF","lucene-2.9.0",-1,2.45001464464032e-06,0.528022563435172,0.574388139382656
"99","LR","lucene-2.9.0",1,2.066579899191e-06,0.0777777777777777,0.0777777777777777
"100","NB","lucene-2.9.0",1,2.066579899191e-06,0.0127388535031847,0.0127388535031847
"101","DT","lucene-2.9.0",1,2.066579899191e-06,0.341207349081365,0.341207349081365
"102","FFT","lucene-2.9.0",0.935483870967742,9.01405941887587e-06,0.360655738,0.360655738
"103","nsga3","lucene-3.0.0",1.80082483423479e-17,1,0.158108031446051,0.155425219941349
"104","RF","lucene-3.0.0",1,2.17482910421301e-06,0.00827937732470036,0
"105","LR","lucene-3.0.0",1,1.99833786697533e-06,0.0620155038759689,0.0620155038759689
"106","NB","lucene-3.0.0",1,1.99833786697533e-06,0.054054054054054,0.054054054054054
"107","DT","lucene-3.0.0",1,1.99833786697533e-06,0.0176991150442477,0.0176991150442477
"108","FFT","lucene-3.0.0",-0.419354838709677,0.0471990793303389,0.19047619,0.19047619
"109","nsga3","wicket-1.3.0-beta2",5.47347225787037e-18,1,0.213755284085135,0.209039548022599
"110","RF","wicket-1.3.0-beta2",1,2.2760128454157e-06,0.0127117943631705,0
"111","LR","wicket-1.3.0-beta2",1,2.09266582539189e-06,0,0
"112","NB","wicket-1.3.0-beta2",-1,2.09266582539189e-06,0.236486486486487,0.236486486486487
"113","DT","wicket-1.3.0-beta2",1,2.09266582539189e-06,0,0
"114","FFT","wicket-1.3.0-beta2",1,2.09266582539189e-06,0.182978723,0.182978723
"115","nsga3","wicket-1.3.0-incubating-beta-1",-1.82915398777393e-18,1,0.341938842698262,0.338747099767981
"116","RF","wicket-1.3.0-incubating-beta-1",1,1.48716835131007e-06,0.206984874335885,0.199337748344371
"117","LR","wicket-1.3.0-incubating-beta-1",1,1.23733544474191e-06,0.306818181818182,0.306818181818182
"118","NB","wicket-1.3.0-incubating-beta-1",-0.612903225806452,0.00301467312110995,0.349442379182156,0.349442379182156
"119","DT","wicket-1.3.0-incubating-beta-1",1,1.23733544474191e-06,0.196078431372549,0.196078431372549
"120","FFT","wicket-1.3.0-incubating-beta-1",-1,1.23733544474191e-06,0.363636364,0.363636364
"121","nsga3","all",9.39954513204994e-19,1,0.363407385162049,0.393458021295023
"122","RF","all",0.169204152249135,0.000356609395899708,0.300822833853334,0.362828631740549
"123","LR","all",0.504844290657439,1.70045648573186e-26,0.238457767142807,0.268407903702021
"124","NB","all",0.644636678200692,3.89889985024489e-42,0.188561028018852,0.190258657941848
"125","DT","all",0.372750865051903,3.6848173303578e-15,0.275655411548629,0.316758747697974
"126","FFT","all",0.207010681510456,4.29994426400799e-06,0.329360243391304,0.358744395
