"file_id","group","algorithm","mean","median"
"activemq-5.0.0_exp_0_train",1,"nsga3",0.313488251800778,0.329119032784636
"activemq-5.0.0_exp_0_train",4,"RF",0.0607311013927678,0.0554650473296299
"activemq-5.0.0_exp_0_train",3,"LR",0.246088223360785,0.246088223360785
"activemq-5.0.0_exp_0_train",2,"NB",0.294331005346504,0.294331005346504
"activemq-5.0.0_exp_0_train",5,"DT",-0.045205893525987,-0.045484993438544
"activemq-5.1.0_exp_68_train",1,"nsga3",0.442693690778154,0.443207248031883
"activemq-5.1.0_exp_68_train",3,"RF",0.327972484353374,0.33143656909892
"activemq-5.1.0_exp_68_train",4,"LR",0.269921463980037,0.269921463980037
"activemq-5.1.0_exp_68_train",2,"NB",0.371176431346338,0.371176431346338
"activemq-5.1.0_exp_68_train",5,"DT",0.225244196003458,0.222726020944295
"activemq-5.2.0_exp_37_train",2,"nsga3",0.32399607796407,0.32196899489895
"activemq-5.2.0_exp_37_train",1,"RF",0.349859363098754,0.349788518532482
"activemq-5.2.0_exp_37_train",3,"LR",0.31370427003977,0.31370427003977
"activemq-5.2.0_exp_37_train",4,"NB",-0.0404036372274474,-0.0404036372274474
"activemq-5.2.0_exp_37_train",3,"DT",0.313013343330656,0.315221629867412
"activemq-5.3.0_exp_32_train",1,"nsga3",0.273733755551563,0.275883625405876
"activemq-5.3.0_exp_32_train",2,"RF",0.258061116888894,0.2541147330206
"activemq-5.3.0_exp_32_train",3,"LR",0.223010114655946,0.223010114655946
"activemq-5.3.0_exp_32_train",1,"NB",0.275717198645836,0.275717198645836
"activemq-5.3.0_exp_32_train",4,"DT",0.168278777668874,0.169012054617956
"groovy-1_5_7_exp_51_train",2,"nsga3",0.300793300878226,0.303739039494884
"groovy-1_5_7_exp_51_train",3,"RF",0.282741714080827,0.286082326928584
"groovy-1_5_7_exp_51_train",2,"LR",0.301145990649579,0.301145990649579
"groovy-1_5_7_exp_51_train",2,"NB",0.302682823049949,0.302682823049949
"groovy-1_5_7_exp_51_train",1,"DT",0.331831137706531,0.33252935968577
"groovy-1_6_BETA_1_exp_53_train",2,"nsga3",0.348185251038835,0.352574511186846
"groovy-1_6_BETA_1_exp_53_train",1,"RF",0.397445620510459,0.402116628675352
"groovy-1_6_BETA_1_exp_53_train",3,"LR",0.274523986680086,0.274523986680086
"groovy-1_6_BETA_1_exp_53_train",4,"NB",-0.070331408367881,-0.070331408367881
"groovy-1_6_BETA_1_exp_53_train",3,"DT",0.27658708394215,0.274544482383956
"hbase-0.94.0_exp_25_train",1,"nsga3",0.308377770086492,0.309071269562949
"hbase-0.94.0_exp_25_train",2,"RF",0.305724884639059,0.30654995067246
"hbase-0.94.0_exp_25_train",4,"LR",-0.0043970987395979,-0.0043970987395979
"hbase-0.94.0_exp_25_train",5,"NB",-0.0790824043668608,-0.0790824043668608
"hbase-0.94.0_exp_25_train",3,"DT",0.180111686219274,0.181362916673907
"hbase-0.95.0_exp_3_train",1,"nsga3",0.298548679510315,0.285429985635219
"hbase-0.95.0_exp_3_train",2,"RF",0.282312036596844,0.28087189454055
"hbase-0.95.0_exp_3_train",3,"LR",0.247028975592622,0.247028975592622
"hbase-0.95.0_exp_3_train",5,"NB",0.0397810344935528,0.0397810344935528
"hbase-0.95.0_exp_3_train",4,"DT",0.197635407102487,0.194914764256098
"hive-0.10.0_exp_19_train",1,"nsga3",0.286444424514725,0.301316492012759
"hive-0.10.0_exp_19_train",2,"RF",0.26546381186334,0.265037167056334
"hive-0.10.0_exp_19_train",5,"LR",-0.124708388411431,-0.124708388411431
"hive-0.10.0_exp_19_train",4,"NB",0.0008230156829776,0.0008230156829776
"hive-0.10.0_exp_19_train",3,"DT",0.140155845160477,0.144787471297382
"hive-0.9.0_exp_47_train",1,"nsga3",0.381922442507747,0.387004329017941
"hive-0.9.0_exp_47_train",2,"RF",0.34119114949387,0.339538979648286
"hive-0.9.0_exp_47_train",4,"LR",0.287667578994971,0.287667578994971
"hive-0.9.0_exp_47_train",5,"NB",0.22022741039013,0.22022741039013
"hive-0.9.0_exp_47_train",3,"DT",0.299852181586484,0.303213813390696
"jruby-1.1_exp_30_train",2,"nsga3",0.418224585231201,0.414543119380194
"jruby-1.1_exp_30_train",1,"RF",0.42695645642944,0.427946199849324
"jruby-1.1_exp_30_train",3,"LR",0.305642121957087,0.305642121957087
"jruby-1.1_exp_30_train",5,"NB",0.175287500252816,0.175287500252816
"jruby-1.1_exp_30_train",4,"DT",0.290946502215588,0.293143463821219
"jruby-1.4.0_exp_41_train",1,"nsga3",0.35944665053677,0.362993477007211
"jruby-1.4.0_exp_41_train",2,"RF",0.335339135769516,0.332531795063444
"jruby-1.4.0_exp_41_train",3,"LR",0.303522201344195,0.303522201344195
"jruby-1.4.0_exp_41_train",5,"NB",0.206026587394454,0.206026587394454
"jruby-1.4.0_exp_41_train",4,"DT",0.29759278349094,0.301727878626784
"jruby-1.5.0_exp_61_train",1,"nsga3",0.276666670707416,0.285095627420448
"jruby-1.5.0_exp_61_train",1,"RF",0.283834845735401,0.28021605219222
"jruby-1.5.0_exp_61_train",4,"LR",0.0519885349760448,0.0519885349760448
"jruby-1.5.0_exp_61_train",3,"NB",0.141109501750514,0.141109501750514
"jruby-1.5.0_exp_61_train",2,"DT",0.204546029117099,0.217128001091494
"lucene-2.3.0_exp_57_train",2,"nsga3",0.221736937179995,0.18671793758469
"lucene-2.3.0_exp_57_train",1,"RF",0.316656226496758,0.314446229767852
"lucene-2.3.0_exp_57_train",5,"LR",0,0
"lucene-2.3.0_exp_57_train",4,"NB",0.0369612321382957,0.0369612321382957
"lucene-2.3.0_exp_57_train",3,"DT",0.134766429894536,0.136318782631497
"lucene-2.9.0_exp_11_train",3,"nsga3",0.326861038870101,0.323652962315178
"lucene-2.9.0_exp_11_train",1,"RF",0.504402132192543,0.504050754308096
"lucene-2.9.0_exp_11_train",4,"LR",0.223671649925189,0.223671649925189
"lucene-2.9.0_exp_11_train",5,"NB",-0.0227958747672638,-0.0227958747672638
"lucene-2.9.0_exp_11_train",2,"DT",0.342744737590977,0.341994520278501
"lucene-3.0.0_exp_43_train",1,"nsga3",0.152200018017914,0.146172482749222
"lucene-3.0.0_exp_43_train",3,"RF",0.0747698546750751,0.072533608252046
"lucene-3.0.0_exp_43_train",4,"LR",0.0580490766345828,0.0580490766345828
"lucene-3.0.0_exp_43_train",5,"NB",-0.0539265383249483,-0.0539265383249483
"lucene-3.0.0_exp_43_train",2,"DT",0.0994347978785353,0.102228206857072
"wicket-1.3.0-beta2_exp_51_train",2,"nsga3",0.204030356172017,0.212677226180981
"wicket-1.3.0-beta2_exp_51_train",3,"RF",0.157902373243986,0.154589674257739
"wicket-1.3.0-beta2_exp_51_train",4,"LR",0.0940080035615223,0.0940080035615223
"wicket-1.3.0-beta2_exp_51_train",1,"NB",0.236020325882765,0.236020325882765
"wicket-1.3.0-beta2_exp_51_train",5,"DT",0.0469255645980885,0.0471914543551007
"wicket-1.3.0-incubating-beta-1_exp_0_train",2,"nsga3",0.35298753000939,0.342516099139714
"wicket-1.3.0-incubating-beta-1_exp_0_train",1,"RF",0.362990680369728,0.362314295019591
"wicket-1.3.0-incubating-beta-1_exp_0_train",5,"LR",0.284828551226208,0.284828551226208
"wicket-1.3.0-incubating-beta-1_exp_0_train",4,"NB",0.293602599466309,0.293602599466309
"wicket-1.3.0-incubating-beta-1_exp_0_train",3,"DT",0.302652795400621,0.300773449088116
"All",1,"nsga3",0.310574301741984,0.321708934280155
"All",1,"RF",0.29635305487948,0.309143672698314
"All",3,"LR",0.186427514245977,0.246558599476703
"All",4,"NB",0.129289266821447,0.158198501001665
"All",2,"DT",0.211506300298933,0.220074593044152
