"file_id","group","algorithm","mean","median"
"activemq-5.0.0_exp_0_train",1,"nsga3",0.313488251800778,0.329119032784636
"activemq-5.0.0_exp_0_train",2,"RF",0.299126983501159,0.297476818303956
"activemq-5.0.0_exp_0_train",4,"LR",0.21703304853157,0.21703304853157
"activemq-5.0.0_exp_0_train",3,"NB",0.281536401956098,0.281536401956098
"activemq-5.0.0_exp_0_train",5,"DT",0.101605844403159,0.103587962233576
"activemq-5.1.0_exp_68_train",1,"nsga3",0.442693690778154,0.443207248031883
"activemq-5.1.0_exp_68_train",5,"RF",0.303325085408645,0.304941939116329
"activemq-5.1.0_exp_68_train",4,"LR",0.320469637218921,0.320469637218921
"activemq-5.1.0_exp_68_train",2,"NB",0.36977103322314,0.36977103322314
"activemq-5.1.0_exp_68_train",3,"DT",0.337145480134427,0.338662540783045
"activemq-5.2.0_exp_37_train",3,"nsga3",0.32399607796407,0.32196899489895
"activemq-5.2.0_exp_37_train",1,"RF",0.349758004395105,0.349724909130867
"activemq-5.2.0_exp_37_train",4,"LR",0.3203282532904,0.3203282532904
"activemq-5.2.0_exp_37_train",5,"NB",0.296643035124302,0.296643035124302
"activemq-5.2.0_exp_37_train",2,"DT",0.340108463874554,0.338110442717301
"activemq-5.3.0_exp_32_train",2,"nsga3",0.273733755551563,0.275883625405876
"activemq-5.3.0_exp_32_train",1,"RF",0.304817728940736,0.301959647855555
"activemq-5.3.0_exp_32_train",4,"LR",0.186785282206268,0.186785282206268
"activemq-5.3.0_exp_32_train",3,"NB",0.265596066575218,0.265596066575218
"activemq-5.3.0_exp_32_train",5,"DT",0.117327238499597,0.117296552992913
"groovy-1_5_7_exp_51_train",2,"nsga3",0.300793300878226,0.303739039494884
"groovy-1_5_7_exp_51_train",3,"RF",0.243121869726646,0.243083491193301
"groovy-1_5_7_exp_51_train",1,"LR",0.36164817882391,0.36164817882391
"groovy-1_5_7_exp_51_train",2,"NB",0.296004751281877,0.296004751281877
"groovy-1_5_7_exp_51_train",4,"DT",0.238461182295817,0.243660130782769
"groovy-1_6_BETA_1_exp_53_train",2,"nsga3",0.348185251038835,0.352574511186846
"groovy-1_6_BETA_1_exp_53_train",1,"RF",0.373596527446816,0.379553963483046
"groovy-1_6_BETA_1_exp_53_train",4,"LR",0.286022107606725,0.286022107606725
"groovy-1_6_BETA_1_exp_53_train",5,"NB",-0.070331408367881,-0.070331408367881
