"","algorithm","file_id","effect_size","p_value","mean","median"
"1","nsga3","activemq-5.0.0",-7.21169316021003e-18,1,0.250100687145059,0.345313782097947
"2","RF","activemq-5.0.0",0.483870967741935,0.0234343449101383,0.20505003303442,0.214178114911935
"3","LR","activemq-5.0.0",1,2.19976718965051e-06,-0.0727009777217449,-0.0727009777217449
"4","NB","activemq-5.0.0",0.483870967741935,0.0224415961481735,0.294331005346504,0.294331005346504
"5","DT","activemq-5.0.0",1,2.48762045813296e-06,-0.106023452750371,-0.100664103733002
"6","FFT","activemq-5.0.0",1,2.19976718965051e-06,-0.080717585,-0.080717585
"7","nsga3","activemq-5.1.0",-7.21169316021003e-18,1,0.347431547575528,0.340247017012552
"8","RF","activemq-5.1.0",-0.258064516129032,0.230338419498895,0.34999154933117,0.354498158955211
"9","LR","activemq-5.1.0",1,2.29482375090894e-06,0.261534585109309,0.261534585109309
"10","NB","activemq-5.1.0",-0.741935483870968,0.000461582352537516,0.371176431346338,0.371176431346338
"11","DT","activemq-5.1.0",1,2.68559955598864e-06,0.270388324761524,0.266364802379458
"12","FFT","activemq-5.1.0",-0.870967741935484,3.89136627918297e-05,0.395098556,0.395098556
"13","nsga3","activemq-5.2.0",0,1,0.358406819233557,0.359404592748872
"14","RF","activemq-5.2.0",0.303225806451613,0.136871245834952,0.35466463392369,0.354176308674085
"15","LR","activemq-5.2.0",1,6.28000704045137e-07,0.32692405707614,0.32692405707614
"16","NB","activemq-5.2.0",1,6.28000704045137e-07,-0.0404036372274474,-0.0404036372274474
"17","DT","activemq-5.2.0",1,6.28000704045137e-07,0.282085923150917,0.282085923150917
"18","FFT","activemq-5.2.0",1,6.28000704045137e-07,0.316794418,0.316794418
"19","nsga3","activemq-5.3.0",0,1,-0.480654062008037,-1
"20","RF","activemq-5.3.0",-1,0.000246655821094752,0.260293497328121,0.260584079011856
"21","LR","activemq-5.3.0",-1,7.19426615040365e-05,0.219385613639596,0.219385613639596
"22","NB","activemq-5.3.0",-1,7.19426615040365e-05,0.275717198645836,0.275717198645836
"23","DT","activemq-5.3.0",-0.555555555555556,0.0416110390238943,0.175680442376332,0.17507700610575
"24","FFT","activemq-5.3.0",-0.111111111111111,0.688098259323512,0,0
"25","nsga3","derby-10.2.1.6",-5.32549781389904e-18,1,0.37332895949414,0.432869886409411
"26","RF","derby-10.2.1.6",0.571428571428571,0.0095866016563678,0.326244781307604,0.316408613671568
"27","LR","derby-10.2.1.6",1,3.62101436637653e-06,0,0
"28","NB","derby-10.2.1.6",1,3.62101436637653e-06,0.0559008955125701,0.0559008955125701
"29","DT","derby-10.2.1.6",0.619047619047619,0.00424974989498291,0.142012945221162,0.142012945221162
"30","FFT","derby-10.2.1.6",1,3.62101436637653e-06,0.101170826,0.101170826
"31","nsga3","derby-10.3.1.4",7.21169316021003e-18,1,0.292621217363653,0.30175338895712
"32","RF","derby-10.3.1.4",-0.987096774193548,3.64376673048374e-06,0.399852257392702,0.400506911168808
"33","LR","derby-10.3.1.4",1,2.29482375090894e-06,0.0392257166279227,0.0392257166279227
"34","NB","derby-10.3.1.4",1,2.29482375090894e-06,0.075048261342691,0.075048261342691
"35","DT","derby-10.3.1.4",-0.741935483870968,0.000461582352537516,0.341973667020185,0.341973667020185
"36","FFT","derby-10.3.1.4",1,2.29482375090894e-06,0.15622923,0.15622923
"37","nsga3","groovy-1_5_7",0,1,0.27678944202565,0.272573041109845
"38","RF","groovy-1_5_7",-0.219047619047619,0.341170723747408,0.286615288519419,0.286082326928584
"39","LR","groovy-1_5_7",1,7.08009493150933e-06,0.188259090606898,0.188259090606898
"40","NB","groovy-1_5_7",-0.333333333333333,0.138137504295785,0.302682823049949,0.302682823049949
"41","DT","groovy-1_5_7",-0.0857142857142857,0.718472350939195,0.282469257212821,0.272472335019432
"42","FFT","groovy-1_5_7",-1,7.08009493150933e-06,0.38215581,0.38215581
"43","nsga3","groovy-1_6_BETA_1",0,1,0.371239177962974,0.372413740548488
"44","RF","groovy-1_6_BETA_1",-0.974193548387097,4.56156837105022e-06,0.412920653417647,0.418172792770098
