"","algorithm","file_id","effect_size","p_value","mean","median"
"1","nsga3","activemq-5.0.0",-5.48046711059608e-18,1,0.606552688817916,0.702558705770196
"2","RF","activemq-5.0.0",0.458064516129032,0.031984922790689,0.638873746450743,0.639812613154463
"3","LR","activemq-5.0.0",0.483870967741935,0.0224415961481735,0.354709514603933,0.354709514603933
"4","NB","activemq-5.0.0",0.290322580645161,0.172706935163012,0.694843824868381,0.694843824868381
"5","DT","activemq-5.0.0",0.754838709677419,0.00038390717049126,0.334626168509323,0.336526649668954
"6","FFT","activemq-5.0.0",0.483870967741935,0.0224415961481735,0.345067323,0.345067323
"7","nsga3","activemq-5.1.0",1.82915398777393e-18,1,0.730665803498001,0.72522179699119
"8","RF","activemq-5.1.0",1,2.70988568946211e-06,0.532185460843211,0.53326710923376
"9","LR","activemq-5.1.0",1,2.29482375090894e-06,0.447031891625386,0.447031891625386
"10","NB","activemq-5.1.0",1,2.29482375090894e-06,0.687062475085872,0.687062475085872
"11","DT","activemq-5.1.0",1,2.68559955598864e-06,0.616412703860879,0.616068800454395
"12","FFT","activemq-5.1.0",-1,2.29482375090894e-06,0.792556628,0.792556628
"13","nsga3","activemq-5.2.0",0,1,0.757010818629744,0.757669079828094
"14","RF","activemq-5.2.0",1,7.7133351936688e-07,0.668209705094358,0.668817993138198
"15","LR","activemq-5.2.0",1,6.28000704045137e-07,0.648813457473756,0.648813457473756
"16","NB","activemq-5.2.0",1,6.28000704045137e-07,0.0716580619323199,0.0716580619323199
"17","DT","activemq-5.2.0",1,6.28000704045137e-07,0.67447896493406,0.67447896493406
"18","FFT","activemq-5.2.0",1,6.28000704045137e-07,0.662087163,0.662087163
"19","nsga3","activemq-5.3.0",0,1,0.263189386317605,0
"20","RF","activemq-5.3.0",-0.577777777777778,0.0356783870633585,0.664566173536617,0.661967059673997
"21","LR","activemq-5.3.0",-0.555555555555556,0.0288446936879702,0.665533420165431,0.665533420165431
"22","NB","activemq-5.3.0",-1,7.19426615040365e-05,0.76913879306411,0.76913879306411
"23","DT","activemq-5.3.0",-0.555555555555556,0.0416110390238943,0.624963358665033,0.623927841686453
"24","FFT","activemq-5.3.0",0.444444444444444,0.0256036805704259,0,0
"25","nsga3","derby-10.2.1.6",-5.32549781389904e-18,1,0.678979262389635,0.731443353915545
"26","RF","derby-10.2.1.6",0.571428571428571,0.0095866016563678,0.658901314169118,0.653067702800364
"27","LR","derby-10.2.1.6",1,3.62101436637653e-06,0,0
