"","algorithm","file_id","effect_size","p_value","mean","median"
"1","nsga3","activemq-5.0.0_exp_0_train",-1.81516428232251e-18,1,3.06451612903226,3
"2","DT","activemq-5.0.0_exp_0_train",0.0645161290322581,0.43965303976298,3,3
"3","DT_SMOTE","activemq-5.0.0_exp_0_train",-1,3.62193706486903e-09,8,8
"4","DT_cost_sensitive","activemq-5.0.0_exp_0_train",-1,3.62193706486903e-09,5,5
"5","nsga3","activemq-5.1.0_exp_68_train",1.79068229778251e-18,1,3.06451612903226,3
"6","DT","activemq-5.1.0_exp_68_train",0.032258064516129,0.609235068636786,3,3
"7","DT_SMOTE","activemq-5.1.0_exp_68_train",-1,1.44787745499337e-09,9.6,10
"8","DT_cost_sensitive","activemq-5.1.0_exp_68_train",-0.935483870967742,1.25879882657106e-08,4,4
"9","nsga3","activemq-5.2.0_exp_37_train",-1.81516428232251e-18,1,3.06451612903226,3
"10","DT","activemq-5.2.0_exp_37_train",0.0645161290322581,0.43965303976298,3,3
"11","DT_SMOTE","activemq-5.2.0_exp_37_train",-1,3.62193706486903e-09,8,8
"12","DT_cost_sensitive","activemq-5.2.0_exp_37_train",-0.935483870967742,2.62302690972647e-08,4,4
"13","nsga3","activemq-5.3.0_exp_32_train",0,NA,3,3
"14","DT","activemq-5.3.0_exp_32_train",-1,2.89773150672166e-10,5,5
"15","DT_SMOTE","activemq-5.3.0_exp_32_train",-1,2.89773150672166e-10,9,9
"16","DT_cost_sensitive","activemq-5.3.0_exp_32_train",-1,2.89773150672166e-10,5,5
"17","nsga3","groovy-1_5_7_exp_51_train",0,NA,3,3
"18","DT","groovy-1_5_7_exp_51_train",0.9,0.00153300445341869,2.1,2
"19","DT_SMOTE","groovy-1_5_7_exp_51_train",-1,0.000245581468874924,8,8
"20","DT_cost_sensitive","groovy-1_5_7_exp_51_train",-1,0.000245581468874924,4,4
"21","nsga3","groovy-1_6_BETA_1_exp_53_train",0,NA,3,3
"22","DT","groovy-1_6_BETA_1_exp_53_train",0,NA,3,3
"23","DT_SMOTE","groovy-1_6_BETA_1_exp_53_train",-1,0.00119092233809089,11.1,12
"24","DT_cost_sensitive","groovy-1_6_BETA_1_exp_53_train",-1,0.000245581468874924,5,5
"25","nsga3","hbase-0.94.0_exp_25_train",0,NA,3,3
"26","DT","hbase-0.94.0_exp_25_train",1,0.000245581468874924,2,2
"27","DT_SMOTE","hbase-0.94.0_exp_25_train",-1,0.000245581468874924,10,10
"28","DT_cost_sensitive","hbase-0.94.0_exp_25_train",0,NA,3,3
"29","nsga3","hbase-0.95.0_exp_3_train",0,NA,3,3
"30","DT","hbase-0.95.0_exp_3_train",-1,0.000871914315588791,4.6,4
"31","DT_SMOTE","hbase-0.95.0_exp_3_train",-1,0.000245581468874924,9,9
"32","DT_cost_sensitive","hbase-0.95.0_exp_3_train",-1,0.000245581468874924,4,4
"33","nsga3","hive-0.10.0_exp_19_train",0,NA,3,3
"34","DT","hive-0.10.0_exp_19_train",1,0.000245581468874924,2,2
"35","DT_SMOTE","hive-0.10.0_exp_19_train",-1,0.000245581468874924,10,10
"36","DT_cost_sensitive","hive-0.10.0_exp_19_train",1,0.000245581468874924,2,2
"37","nsga3","hive-0.9.0_exp_47_train",0,NA,3,3
"38","DT","hive-0.9.0_exp_47_train",-1,0.000245581468874924,5,5
"39","DT_SMOTE","hive-0.9.0_exp_47_train",-1,0.000871914315588791,10.8,10
"40","DT_cost_sensitive","hive-0.9.0_exp_47_train",-1,0.000245581468874924,5,5
"41","nsga3","jruby-1.1_exp_30_train",0,NA,3,3
"42","DT","jruby-1.1_exp_30_train",0,NA,3,3
"43","DT_SMOTE","jruby-1.1_exp_30_train",-1,0.000245581468874924,5,5
"44","DT_cost_sensitive","jruby-1.1_exp_30_train",0,NA,3,3
"45","nsga3","jruby-1.4.0_exp_41_train",0,NA,3,3
"46","DT","jruby-1.4.0_exp_41_train",1,0.000245581468874924,2,2
"47","DT_SMOTE","jruby-1.4.0_exp_41_train",-1,0.00119092233809089,8.5,10
"48","DT_cost_sensitive","jruby-1.4.0_exp_41_train",1,0.000245581468874924,2,2
"49","nsga3","jruby-1.5.0_exp_61_train",0,NA,3,3
"50","DT","jruby-1.5.0_exp_61_train",0,NA,3,3
"51","DT_SMOTE","jruby-1.5.0_exp_61_train",-1,0.000530580112251055,5.5,5
"52","DT_cost_sensitive","jruby-1.5.0_exp_61_train",0.5,0.0724952254528527,2.5,2.5
"53","nsga3","lucene-2.3.0_exp_57_train",0,1,3.2,3
"54","DT","lucene-2.3.0_exp_57_train",0.2,0.203091787577168,3,3
"55","DT_SMOTE","lucene-2.3.0_exp_57_train",-1,0.000295869548037869,9,9
"56","DT_cost_sensitive","lucene-2.3.0_exp_57_train",0.2,0.203091787577168,3,3
"57","nsga3","lucene-2.9.0_exp_11_train",0,NA,3,3
"58","DT","lucene-2.9.0_exp_11_train",0,NA,3,3
"59","DT_SMOTE","lucene-2.9.0_exp_11_train",-1,0.00119092233809089,10.3,10
"60","DT_cost_sensitive","lucene-2.9.0_exp_11_train",0,NA,3,3
"61","nsga3","lucene-3.0.0_exp_43_train",0,NA,3,3
"62","DT","lucene-3.0.0_exp_43_train",0,NA,3,3
"63","DT_SMOTE","lucene-3.0.0_exp_43_train",-1,0.000245581468874924,10,10
"64","DT_cost_sensitive","lucene-3.0.0_exp_43_train",0,NA,3,3
"65","nsga3","wicket-1.3.0-beta2_exp_51_train",0,NA,3,3
"66","DT","wicket-1.3.0-beta2_exp_51_train",0.8,0.00582066640781088,2.3,2
"67","DT_SMOTE","wicket-1.3.0-beta2_exp_51_train",-1,0.00149546074996446,11.5,11.5
"68","DT_cost_sensitive","wicket-1.3.0-beta2_exp_51_train",1,0.000245581468874924,2,2
"69","nsga3","wicket-1.3.0-incubating-beta-1_exp_0_train",0,NA,3,3
"70","DT","wicket-1.3.0-incubating-beta-1_exp_0_train",0,NA,3,3
"71","DT_SMOTE","wicket-1.3.0-incubating-beta-1_exp_0_train",-1,0.000245581468874924,9,9
"72","DT_cost_sensitive","wicket-1.3.0-incubating-beta-1_exp_0_train",0,NA,3,3
"73","nsga3","all",-1.20408532019205e-18,1,3.03083700440529,3
"74","DT","all",0.0515859030837004,0.205595143412761,3.15,3
"75","DT_SMOTE","all",-0.999074889867841,9.27163787670079e-83,8.615,9
"76","DT_cost_sensitive","all",-0.257819383259912,1.64285702641188e-08,3.525,3
