"","algorithm","file_id","effect_size","p_value","mean","median"
"1","nsga3","activemq-5.0.0_exp_0_train",0,1,6.45161290322581,6
"2","nsga3_NO_COMPLEXITY","activemq-5.0.0_exp_0_train",-0.751612903225807,1.17990059855542e-05,20.1,12
"3","nsga3","activemq-5.1.0_exp_68_train",1.81516428232251e-18,1,6.80645161290323,6
"4","nsga3_NO_COMPLEXITY","activemq-5.1.0_exp_68_train",-0.741935483870968,1.5300083988556e-05,11.9,10.5
"5","nsga3","activemq-5.2.0_exp_37_train",3.55688261102503e-18,1,6.45161290322581,6
"6","nsga3_NO_COMPLEXITY","activemq-5.2.0_exp_37_train",-0.596774193548387,0.000716427588655661,30.8,18.5
"7","nsga3","activemq-5.3.0_exp_32_train",1.79068229778251e-18,1,6.03225806451613,6
"8","nsga3_NO_COMPLEXITY","activemq-5.3.0_exp_32_train",-0.893548387096774,2.7037133392852e-08,21.4,18
"9","nsga3","groovy-1_5_7_exp_51_train",-1.81516428232251e-18,1,6.06451612903226,6
"10","nsga3_NO_COMPLEXITY","groovy-1_5_7_exp_51_train",-0.693548387096774,3.11709633871649e-05,665.8,18
"11","nsga3","groovy-1_6_BETA_1_exp_53_train",1.79068229778251e-18,1,6.48387096774194,6
"12","nsga3_NO_COMPLEXITY","groovy-1_6_BETA_1_exp_53_train",-0.954838709677419,9.40571442383009e-09,23.7,15
"13","nsga3","hbase-0.94.0_exp_25_train",3.62683113828216e-18,1,7.96774193548387,6
"14","nsga3_NO_COMPLEXITY","hbase-0.94.0_exp_25_train",-0.92258064516129,3.09606994423224e-07,39.7,25.5
"15","nsga3","hbase-0.95.0_exp_3_train",3.55688261102503e-18,1,8.29032258064516,6
"16","nsga3_NO_COMPLEXITY","hbase-0.95.0_exp_3_train",-0.47741935483871,0.00687029755857748,23.7,13
"17","nsga3","hive-0.10.0_exp_19_train",0,NA,6,6
"18","nsga3_NO_COMPLEXITY","hive-0.10.0_exp_19_train",-0.4,0.0132249233572928,16.2,15.5
"19","nsga3","hive-0.9.0_exp_47_train",1.81516428232251e-18,1,6.12903225806452,6
"20","nsga3_NO_COMPLEXITY","hive-0.9.0_exp_47_train",-0.583870967741935,0.000288028700370555,30,20.5
"21","nsga3","jruby-1.1_exp_30_train",1.79068229778251e-18,1,6.03225806451613,6
"22","nsga3_NO_COMPLEXITY","jruby-1.1_exp_30_train",-0.590322580645161,0.000136685172212085,19.9,9
"23","nsga3","jruby-1.4.0_exp_41_train",5.35455976153325e-18,1,6.45161290322581,6
"24","nsga3_NO_COMPLEXITY","jruby-1.4.0_exp_41_train",-0.758064516129032,3.8576558442416e-05,54.9,37
"25","nsga3","jruby-1.5.0_exp_61_train",1.79068229778251e-18,1,6.03225806451613,6
"26","nsga3_NO_COMPLEXITY","jruby-1.5.0_exp_61_train",-0.0967741935483871,0.558839546835139,15.4,7
"27","nsga3","lucene-2.3.0_exp_57_train",0,1,6.45161290322581,6
"28","nsga3_NO_COMPLEXITY","lucene-2.3.0_exp_57_train",-0.496774193548387,0.00378404751014732,20.2,7
"29","nsga3","lucene-2.9.0_exp_11_train",5.35455976153325e-18,1,8.06451612903226,6
"30","nsga3_NO_COMPLEXITY","lucene-2.9.0_exp_11_train",-0.664516129032258,0.000310987350282277,11.5,11.5
"31","nsga3","lucene-3.0.0_exp_43_train",3.55688261102503e-18,1,6.93548387096774,6
"32","nsga3_NO_COMPLEXITY","lucene-3.0.0_exp_43_train",-0.67741935483871,0.000121229274855143,16.7,12
"33","nsga3","wicket-1.3.0-beta2_exp_51_train",1.81516428232251e-18,1,6.80645161290323,6
"34","nsga3_NO_COMPLEXITY","wicket-1.3.0-beta2_exp_51_train",-0.551612903225806,0.000615562802571655,17.5,9.5
"35","nsga3","wicket-1.3.0-incubating-beta-1_exp_0_train",3.55688261102503e-18,1,6.25806451612903,6
"36","nsga3_NO_COMPLEXITY","wicket-1.3.0-incubating-beta-1_exp_0_train",-0.367741935483871,0.0278569476613147,16.4,9.5
"37","nsga3","all",-3.39774971151506e-19,1,6.69838709677419,6
"38","nsga3_NO_COMPLEXITY","all",-0.637145161290323,4.70420656393528e-64,76.52,13
